"id","from","to","date","distance","countryside","device","suburban","age"
"34","Budapest","Budapest","2015-01-24T16:00:00","9","budapest","ios","true","33"
"35","Gödöllő","Isaszeg","2015-01-24T15:00:00","8","countryside","ios","true","34"
"36","Nyíregyháza","Debrecen","2015-01-24T06:00:00","61","countryside","android","false","33"
"37","Budapest","Veresegyház","2015-01-24T21:00:00","34","budapest","ios","true","19"
"38","Budapest","Debrecen","2015-01-24T14:00:00","236","budapest","ios","false","23"
"39","Budapest","Budapest","2015-01-24T14:00:00","10","budapest","ios","true","22"
"40","Pátroha","Budapest","2015-01-24T09:00:00","276","budapest","ios","false","21"
"41","Pécel","Budapest","2015-01-24T17:00:00","23","budapest","ios","true","37"
"42","Püspökladány","Karcag","2015-01-24T08:00:00","16","countryside","ios","true","28"
"43","Székesfehérvár","Balatonszemes","2015-01-24T17:00:00","82","countryside","android","false","33"
"44","Székesfehérvár","Budapest","2015-01-24T17:00:00","64","budapest","ios","false","34"
"45","Szolnok","Kisújszállás","2015-01-24T13:00:00","57","countryside","ios","false","19"
"46","Szombathely","Sopron","2015-01-24T11:00:00","72","countryside","ios","false","27"
"47","Tárnok","Budapest","2015-01-24T10:00:00","32","budapest","android","true","34"
"48","Tárnok","Budapest","2015-01-24T07:00:00","26","budapest","ios","true","21"
"49","Vác","Göd","2015-01-24T20:00:00","11","countryside","android","true","22"
"50","Vác","Budapest","2015-01-24T18:00:00","41","budapest","android","true","33"
"51","Veszprém","Budapest","2015-01-24T17:00:00","119","budapest","ios","false","37"
"52","Villány","Mohács","2015-01-24T21:00:00","32","countryside","ios","true","24"
"53","Budapest","Szeged","2015-01-24T17:00:00","170","budapest","android","false","28"
"54","Csurgó","Kaposvár","2015-01-24T05:00:00","72","countryside","ios","false","24"
"55","Budapest","Martonvásár","2015-01-24T15:00:00","31","budapest","android","true","38"
"56","Vecsés","Budapest","2015-01-24T09:00:00","10","budapest","ios","true","29"
"57","Vecsés","Nyíregyháza","2015-01-24T22:00:00","248","countryside","ios","false","19"
"58","Fót","Nyíregyháza","2015-01-24T18:00:00","228","countryside","ios","false","33"
"59","Győr","Budapest","2015-01-24T11:00:00","125","budapest","ios","false","20"
"60","Győr","Budapest","2015-01-24T14:00:00","125","budapest","ios","false","34"
"61","Budapest","Érd","2015-01-24T21:00:00","14","budapest","ios","true","26"
"62","Budapest","Érd","2015-01-24T17:00:00","14","budapest","android","true","19"
"63","Komárom","Budapest","2015-01-24T13:00:00","94","budapest","ios","false","30"
"64","Budapest","Budapest","2015-01-24T09:00:00","7","budapest","android","true","30"
"65","Budapest","Budapest","2015-01-24T13:00:00","7","budapest","ios","true","32"
"66","Budapest","Kisújszállás","2015-01-24T15:00:00","156","budapest","ios","false","33"
"67","Miskolc","Budapest","2015-01-24T12:00:00","180","budapest","ios","false","21"
"68","Budapest","Dunakeszi","2015-01-24T03:00:00","17","budapest","android","true","28"
"69","Budapest","Fót","2015-01-24T19:00:00","16","budapest","ios","true","18"
"70","Budapest","Göd","2015-01-24T00:00:00","24","budapest","android","true","27"
"71","Budapest","Budapest","2015-01-24T17:00:00","10","budapest","android","true","27"
"72","Budapest","Budapest","2015-01-24T18:00:00","10","budapest","ios","true","25"
"73","Budapest","Budapest","2015-01-24T10:00:00","9","budapest","ios","true","28"
"74","Budapest","Celldömölk","2015-01-24T21:00:00","195","budapest","android","false","22"
"75","Pilis","Budapest","2015-01-24T13:00:00","40","budapest","ios","true","23"
"76","Pilis","Budapest","2015-01-24T07:00:00","56","budapest","android","false","37"
"77","Nagytarcsa","Budapest","2015-01-24T09:00:00","17","budapest","ios","true","29"
"78","Nagytarcsa","Budapest","2015-01-24T19:00:00","17","budapest","android","true","37"
"79","Ecser","Ecser","2015-01-24T20:00:00","7","countryside","ios","true","22"
"80","Újfehértó","Debrecen","2015-01-24T12:00:00","40","countryside","ios","true","29"
"81","Veszprém","Budapest","2015-01-24T05:00:00","122","budapest","ios","false","27"
"82","Veszprém","Budapest","2015-01-24T06:00:00","122","budapest","android","false","20"
"83","Zalaegerszeg","Győr","2015-01-24T18:00:00","135","countryside","android","false","31"
"84","Budapest","Budapest","2015-01-24T12:00:00","9","budapest","ios","true","34"
"85","Budapest","Budapest","2015-01-24T14:00:00","9","budapest","ios","true","24"
"86","Ajak","Nyíregyháza","2015-01-24T19:00:00","41","countryside","android","true","28"
"87","Berettyóújfalu","Budapest","2015-01-24T09:00:00","230","budapest","ios","false","30"
"88","Budapest","Velence","2015-01-24T20:00:00","50","budapest","ios","false","30"
"89","Budaörs","Budapest","2015-01-24T09:00:00","8","budapest","android","true","30"
"90","Budapest","Isaszeg","2015-01-24T14:00:00","35","budapest","android","true","32"
"91","Budapest","Lepsény","2015-01-24T03:00:00","88","budapest","ios","false","34"
"92","Budapest","Mezőnyárád","2015-01-24T16:00:00","142","budapest","ios","false","38"
"93","Budapest","Nyékládháza","2015-01-24T20:00:00","164","budapest","ios","false","27"
"94","Budapest","Nagykáta","2015-01-24T15:00:00","62","budapest","ios","false","28"
"95","Budapest","Szombathely","2015-01-24T09:00:00","228","budapest","ios","false","30"
"96","Budapest","Berettyóújfalu","2015-01-24T18:00:00","228","budapest","android","false","22"
"97","Budapest","Tata","2015-01-24T10:00:00","70","budapest","ios","false","26"
"98","Budapest","Szentgotthárd","2015-01-24T19:00:00","216","budapest","ios","false","38"
"99","Budapest","Hajdúszoboszló","2015-01-24T19:00:00","244","budapest","ios","false","28"
"100","Budapest","Monorierdő","2015-01-24T16:00:00","44","budapest","ios","true","27"
"101","Budapest","Üllő","2015-01-24T20:00:00","31","budapest","ios","true","21"
"102","Budapest","Berettyóújfalu","2015-01-24T10:00:00","231","budapest","ios","false","19"
"103","Budapest","Devecser","2015-01-24T07:00:00","166","budapest","ios","false","29"
"104","Budapest","Fertőszentmiklós","2015-01-24T10:00:00","188","budapest","android","false","31"
"105","Budapest","Herceghalom","2015-01-24T17:00:00","31","budapest","ios","true","31"
"106","Budapest","Som","2015-01-24T23:00:00","203","budapest","ios","false","32"
"107","Budapest","Százhalombatta","2015-01-24T19:00:00","33","budapest","ios","true","29"
"108","Budapest","Székesfehérvár","2015-01-24T08:00:00","71","budapest","ios","false","25"
"109","Budapest","Szombathely","2015-01-24T10:00:00","228","budapest","android","false","29"
"110","Budapest","Szombathely","2015-01-24T11:00:00","228","budapest","ios","false","24"
"111","Budapest","Veszprém","2015-01-24T10:00:00","125","budapest","ios","false","19"
"112","Halásztelek","Budapest","2015-01-24T17:00:00","13","budapest","ios","true","30"
"113","Cegléd","Szeged","2015-01-24T16:00:00","119","countryside","ios","false","22"
"114","Cegléd","Szolnok","2015-01-24T16:00:00","28","countryside","ios","true","29"
"115","Csengőd","Budapest","2015-01-24T11:00:00","131","budapest","ios","false","19"
"116","Csorna","Győr","2015-01-24T09:00:00","34","countryside","ios","true","31"
"117","Debrecen","Budapest","2015-01-24T18:00:00","238","budapest","ios","false","33"
"118","Debrecen","Karcag","2015-01-24T15:00:00","71","countryside","ios","false","20"
"119","Debrecen","Kisvárda","2015-01-24T15:00:00","105","countryside","ios","false","35"
"120","Budapest","Tatabánya","2015-01-24T22:00:00","58","budapest","ios","false","31"
"121","Budapest","Érd","2015-01-24T13:00:00","19","budapest","ios","true","28"
"122","Budapest","Érd","2015-01-24T23:00:00","19","budapest","ios","true","38"
"123","Budapest","Érd","2015-01-24T19:00:00","23","budapest","android","true","31"
"124","Dunakeszi","Budapest","2015-01-24T13:00:00","11","budapest","android","true","28"
"125","Dunakeszi","Budapest","2015-01-24T15:00:00","17","budapest","ios","true","28"
"126","Dunavarsány","Budapest","2015-01-24T13:00:00","30","budapest","ios","true","19"
"127","Érd","Budapest","2015-01-24T11:00:00","18","budapest","android","true","25"
"128","Érd","Budapest","2015-01-24T12:00:00","15","budapest","ios","true","31"
"129","Vecsés","Budapest","2015-01-24T17:00:00","18","budapest","android","true","31"
"130","Fót","Budapest","2015-01-24T23:00:00","19","budapest","ios","true","37"
"131","Füzesabony","Kiskunhalas","2015-01-24T12:00:00","252","countryside","ios","false","27"
"132","Isaszeg","Kecskemét","2015-01-24T20:00:00","113","countryside","ios","false","31"
"133","Gyömrő","Budapest","2015-01-24T20:00:00","38","budapest","android","true","36"
"134","Győr","Budapest","2015-01-24T21:00:00","125","budapest","ios","false","23"
"135","Győr","Sopron","2015-01-24T08:00:00","92","countryside","ios","false","36"
"136","Győr","Gyömöre","2015-01-24T10:00:00","26","countryside","android","true","27"
"137","Gyula","Szolnok","2015-01-24T17:00:00","129","countryside","android","false","37"
"138","Hajdúszoboszló","Debrecen","2015-01-24T11:00:00","30","countryside","ios","true","32"
"139","Hajdúszoboszló","Nyíregyháza","2015-01-24T11:00:00","77","countryside","ios","false","34"
"140","Kaba","Debrecen","2015-01-24T18:00:00","42","countryside","android","true","22"
"141","Kecskemét","Budapest","2015-01-24T12:00:00","94","budapest","ios","false","36"
